"Loan_ID","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status"
"LP002234","Male","No","0","Graduate","Yes","7167","0.0","128.0","360.0","1.0","Urban","Y"
"LP002236","Male","Yes","2","Graduate","No","4566","0.0","100.0","360.0","1.0","Urban","N"
"LP002237","Male","No","1","Graduate","","3667","0.0","113.0","180.0","1.0","Urban","Y"
"LP002239","Male","No","0","Not Graduate","No","2346","1600.0","132.0","360.0","1.0","Semiurban","Y"
"LP002244","Male","Yes","0","Graduate","No","2333","2417.0","136.0","360.0","1.0","Urban","Y"
"LP002250","Male","Yes","0","Graduate","No","5488","0.0","125.0","360.0","1.0","Rural","Y"
"LP002263","Male","Yes","0","Graduate","No","2583","2115.0","120.0","360.0","","Urban","Y"
"LP002265","Male","Yes","2","Not Graduate","No","1993","1625.0","113.0","180.0","1.0","Semiurban","Y"
"LP002266","Male","Yes","2","Graduate","No","3100","1400.0","113.0","360.0","1.0","Urban","Y"
"LP002272","Male","Yes","2","Graduate","No","3276","484.0","135.0","360.0","","Semiurban","Y"
"LP002277","Female","No","0","Graduate","No","3180","0.0","71.0","360.0","0.0","Urban","N"
"LP002281","Male","Yes","0","Graduate","No","3033","1459.0","95.0","360.0","1.0","Urban","Y"
"LP002284","Male","No","0","Not Graduate","No","3902","1666.0","109.0","360.0","1.0","Rural","Y"
"LP002287","Female","No","0","Graduate","No","1500","1800.0","103.0","360.0","0.0","Semiurban","N"
"LP002288","Male","Yes","2","Not Graduate","No","2889","0.0","45.0","180.0","0.0","Urban","N"
"LP002296","Male","No","0","Not Graduate","No","2755","0.0","65.0","300.0","1.0","Rural","N"
"LP002297","Male","No","0","Graduate","No","2500","20000.0","103.0","360.0","1.0","Semiurban","Y"
"LP002300","Female","No","0","Not Graduate","No","1963","0.0","53.0","360.0","1.0","Semiurban","Y"
"LP002305","Female","No","0","Graduate","No","4547","0.0","115.0","360.0","1.0","Semiurban","Y"
"LP002308","Male","Yes","0","Not Graduate","No","2167","2400.0","115.0","360.0","1.0","Urban","Y"
"LP002314","Female","No","0","Not Graduate","No","2213","0.0","66.0","360.0","1.0","Rural","Y"
"LP002318","Female","No","1","Not Graduate","Yes","3867","0.0","62.0","360.0","1.0","Semiurban","N"
"LP002332","Male","Yes","0","Not Graduate","No","2253","2033.0","110.0","360.0","1.0","Rural","Y"
"LP002337","Female","No","0","Graduate","No","2995","0.0","60.0","360.0","1.0","Urban","Y"
"LP002345","Male","Yes","0","Graduate","No","1025","2773.0","112.0","360.0","1.0","Rural","Y"
"LP002347","Male","Yes","0","Graduate","No","3246","1417.0","138.0","360.0","1.0","Semiurban","Y"
"LP002348","Male","Yes","0","Graduate","No","5829","0.0","138.0","360.0","1.0","Rural","Y"
"LP002357","Female","No","0","Not Graduate","No","2720","0.0","80.0","","0.0","Urban","N"
"LP002361","Male","Yes","0","Graduate","No","1820","1719.0","100.0","360.0","1.0","Urban","Y"
"LP002362","Male","Yes","1","Graduate","No","7250","1667.0","110.0","","0.0","Urban","N"
"LP002366","Male","Yes","0","Graduate","No","2666","4300.0","121.0","360.0","1.0","Rural","Y"
"LP002367","Female","No","1","Not Graduate","No","4606","0.0","81.0","360.0","1.0","Rural","N"
"LP002368","Male","Yes","2","Graduate","No","5935","0.0","133.0","360.0","1.0","Semiurban","Y"
"LP002369","Male","Yes","0","Graduate","No","2920","16.12000084","87.0","360.0","1.0","Rural","Y"
"LP002370","Male","No","0","Not Graduate","No","2717","0.0","60.0","180.0","1.0","Urban","Y"
"LP002377","Female","No","1","Graduate","Yes","8624","0.0","150.0","360.0","1.0","Semiurban","Y"
"LP002379","Male","No","0","Graduate","No","6500","0.0","105.0","360.0","0.0","Rural","N"
"LP002387","Male","Yes","0","Graduate","No","2425","2340.0","143.0","360.0","1.0","Semiurban","Y"
"LP002390","Male","No","0","Graduate","No","3750","0.0","100.0","360.0","1.0","Urban","Y"
"LP002398","Male","No","0","Graduate","No","1926","1851.0","50.0","360.0","1.0","Semiurban","Y"
"LP002407","Female","Yes","0","Not Graduate","Yes","7142","0.0","138.0","360.0","1.0","Rural","Y"
"LP002418","Male","No","3+","Not Graduate","No","4707","1993.0","148.0","360.0","1.0","Semiurban","Y"
"LP002429","Male","Yes","1","Graduate","Yes","3466","1210.0","130.0","360.0","1.0","Rural","Y"
"LP002434","Male","Yes","2","Not Graduate","No","4652","0.0","110.0","360.0","1.0","Rural","Y"
"LP002435","Male","Yes","0","Graduate","","3539","1376.0","55.0","360.0","1.0","Rural","N"
"LP002443","Male","Yes","2","Graduate","No","3340","1710.0","150.0","360.0","0.0","Rural","N"
"LP002446","Male","Yes","2","Not Graduate","No","2309","1255.0","125.0","360.0","0.0","Rural","N"
"LP002447","Male","Yes","2","Not Graduate","No","1958","1456.0","60.0","300.0","","Urban","Y"
